timestamp,position,predicted,actual,return
2024-08-24 19:00:00,-1,63708.66602561625,64132.41,0.0013265833665536404
2024-08-24 20:00:00,-1,63572.77499056723,63659.29,0.007377237187874315
2024-08-24 21:00:00,1,64064.10040500235,63935.86,0.004344534788245356
2024-08-24 22:00:00,1,64209.05085267395,64114.27,0.0027904528069223784
2024-08-24 23:00:00,-1,63769.38866752917,64128.02,-0.0002144608368776561
2024-08-25 00:00:00,1,64406.18025398156,64181.41,0.0008325533830610503
2024-08-25 01:00:00,-1,63687.38947732191,64172.87,0.0001330603363185831
2024-08-25 02:00:00,-1,63639.4154533107,64097.69,0.0011715231062597057
2024-08-25 03:00:00,1,64170.57921438605,64119.52,0.0003405738958766606
2024-08-25 04:00:00,1,64328.02078652241,64144.93,0.00039629117622844796
2024-08-25 05:00:00,-1,63483.99019060673,64000.45,0.002252399371236405
2024-08-25 06:00:00,1,64348.71288285356,63893.83,-0.0016659257864592412
2024-08-25 07:00:00,1,64010.68710124134,63949.41,0.0008698805502816429
2024-08-25 08:00:00,1,64000.86348805122,63900.14,-0.0007704527688371804
2024-08-25 09:00:00,1,64224.59412010789,63827.21,-0.0011413120534634242
2024-08-25 10:00:00,1,64181.430404250365,63900.38,0.0011463762868531816
2024-08-25 11:00:00,-1,63782.49803395304,63919.99,-0.0003068839340235627
2024-08-25 12:00:00,1,63991.33909792304,64091.83,0.002688360871145377
2024-08-25 13:00:00,1,64212.96845845576,64110.44,0.0002903646221367151
2024-08-25 14:00:00,-1,63946.44656827169,64151.75,-0.0006443568317421885
2024-08-25 15:00:00,1,64174.072191623905,64038.87,-0.0017595778758957843
2024-08-25 16:00:00,-1,64008.501240263395,64130.67,-0.0014335043700801659
2024-08-25 17:00:00,-1,64030.520442403846,64096.67,0.0005301675469786922
2024-08-25 18:00:00,-1,63907.02916308383,64171.95,-0.0011744759907183764
2024-08-25 19:00:00,-1,63978.22455882441,64159.63,0.00019198419247038167
2024-08-25 20:00:00,1,64899.84648247106,64380.0,0.003434714321139362
2024-08-25 21:00:00,-1,64358.537946754455,64403.11,-0.0003589624106865577
2024-08-25 22:00:00,-1,64013.76755353486,64250.24,0.0023736431361777812
2024-08-25 23:00:00,1,64620.36664559503,64065.5,-0.002875319998804642
2024-08-26 00:00:00,-1,63614.16140237292,63987.06,0.0012243719318510327
2024-08-26 01:00:00,1,64124.00537423575,64080.0,0.001452481173537311
2024-08-26 02:00:00,1,64399.92912338743,64074.61,-8.41136079900034e-05
2024-08-26 03:00:00,1,64182.43494831599,64028.55,-0.0007188494787560575
2024-08-26 04:00:00,-1,63594.95536802697,64014.39,0.00022115134576690385
2024-08-26 05:00:00,-1,63831.207559255345,63734.98,0.00436479985203321
2024-08-26 06:00:00,-1,63714.34982880505,63699.29,0.0005599750717738098
2024-08-26 07:00:00,1,63786.164490659605,63736.65,0.000586505752261926
2024-08-26 08:00:00,1,63844.208112220505,63793.56,0.0008928928646233558
2024-08-26 09:00:00,1,64137.333710576066,63834.87,0.0006475575277505276
2024-08-26 10:00:00,1,63982.99454293276,63856.42,0.0003375897843920671
2024-08-26 11:00:00,-1,63631.774282250604,63622.56,0.0036622785931312873
2024-08-26 12:00:00,1,63796.22646122446,63739.25,0.0018340978420233692
2024-08-26 13:00:00,-1,63531.79172002443,63400.51,0.005314464792102166
2024-08-26 14:00:00,1,63631.31330903125,63500.94,0.0015840566582193153
2024-08-26 15:00:00,1,63507.2049397557,63646.66,0.002294769179794837
2024-08-26 16:00:00,-1,63537.37238826991,63281.71,0.005734000810097566
2024-08-26 17:00:00,1,63674.48328153638,63602.78,0.0050736618842948415
2024-08-26 18:00:00,-1,63064.27828070839,63353.91,0.003912879279804992
2024-08-26 19:00:00,1,63540.42056318519,63460.12,0.0016764553284872097
2024-08-26 20:00:00,-1,63064.78191539842,63233.55,0.003570273740421539
2024-08-26 21:00:00,-1,63210.577209116476,63045.77,0.002969626092477903
2024-08-26 22:00:00,1,63266.159809915,62840.29,-0.0032592194527879654
2024-08-26 23:00:00,-1,62765.759690998835,62732.29,0.0017186426097015148
2024-08-27 00:00:00,1,63415.39908946198,62995.8,0.004200548075002555
2024-08-27 01:00:00,1,62996.80730276371,62944.99,-0.0008065617072885009
2024-08-27 02:00:00,1,63312.33908476681,62928.99,-0.0002541902064008589
2024-08-27 03:00:00,1,62979.44160386569,62960.96,0.0005080329431634159
2024-08-27 04:00:00,-1,62790.736621096556,63075.77,-0.0018235109502777224
2024-08-27 05:00:00,-1,62942.86846553321,62792.23,0.004495228516433388
2024-08-27 06:00:00,1,62968.18768517587,62831.35,0.0006230070185434622
2024-08-27 07:00:00,-1,62359.72416636715,62816.92,0.00022966242170509294
2024-08-27 08:00:00,-1,62754.16588824527,62682.1,0.002146237032952264
2024-08-27 09:00:00,-1,62627.649013372684,62326.15,0.005678654671748348
2024-08-27 10:00:00,1,62364.66745238326,62357.36,0.0005007528942506335
2024-08-27 11:00:00,-1,61970.32755033775,62452.31,-0.0015226751100430981
2024-08-27 12:00:00,1,62855.51082024159,62298.92,-0.002456114113313013
2024-08-27 13:00:00,-1,61819.497295426605,61891.49,0.006539920756250675
2024-08-27 14:00:00,-1,61217.74853449582,61688.8,0.0032749251956932213
2024-08-27 15:00:00,1,61755.620805897684,61604.89,-0.001360214495986362
2024-08-27 16:00:00,1,62108.31383347561,61936.19,0.005377819845145457
2024-08-27 17:00:00,1,62327.978784463834,62086.62,0.002428790017597148
2024-08-27 18:00:00,-1,61710.811789190004,62079.47,0.00011516168862150097
2024-08-27 19:00:00,-1,62005.36169514288,61871.8,0.003345228301723553
2024-08-27 20:00:00,-1,60369.14722756967,60348.58,0.02461897019320597
2024-08-27 21:00:00,-1,59929.92709219512,59621.36,0.012050324962078663
2024-08-27 22:00:00,1,59935.79850783852,59558.1,-0.0010610291345249762
2024-08-27 23:00:00,-1,59556.27214488032,59236.7,0.005396411235415527
2024-08-28 00:00:00,1,59258.0658965056,59448.6,0.0035771742855358495
2024-08-28 01:00:00,1,59839.73348863377,59486.3,0.0006341612754548361
2024-08-28 02:00:00,1,59691.16960249621,59665.62,0.003014475601945317
2024-08-28 03:00:00,-1,59090.48950321933,59475.69,0.0031832401976213485
2024-08-28 04:00:00,1,59947.120660217835,59399.66,-0.001278337418195549
2024-08-28 05:00:00,-1,59385.934457928764,59258.7,0.0023730775563362886
2024-08-28 06:00:00,-1,58354.510456226286,58720.0,0.009090648292993216
2024-08-28 07:00:00,1,59571.080477282594,59304.57,0.00995521117166212
2024-08-28 08:00:00,1,59969.404549278006,60152.41,0.014296368728413405
2024-08-28 09:00:00,-1,59783.14663960711,59895.89,0.004264500790575208
2024-08-28 10:00:00,-1,59526.114196798386,60058.35,-0.0027123730860331005
2024-08-28 11:00:00,1,60593.07619461847,60072.9,0.0002422643978731169
2024-08-28 12:00:00,-1,59148.40569454537,59473.19,0.009983037276375855
2024-08-28 13:00:00,-1,58754.82351723562,59223.45,0.004199203035855403
2024-08-28 14:00:00,-1,58791.00129339863,58983.33,0.004054475043247149
2024-08-28 15:00:00,1,59132.869537191305,59117.49,0.0022745409592845336
2024-08-28 16:00:00,-1,58878.72897595822,58639.37,0.008087623476571744
2024-08-28 17:00:00,1,58925.78499848154,59424.26,0.013385034661866241
2024-08-28 18:00:00,-1,58984.06991982329,58942.94,0.008099722234656345
2024-08-28 19:00:00,1,59053.212676311625,59393.15,0.0076380648810527455
2024-08-28 20:00:00,1,59490.99218143135,59117.07,-0.004648347494618516
2024-08-28 21:00:00,1,59438.97751023985,59164.77,0.0008068735476909984
2024-08-28 22:00:00,1,59546.781491369424,59083.32,-0.0013766638491115083
2024-08-28 23:00:00,1,59147.02181638429,59192.41,0.0018463755929762204
2024-08-29 00:00:00,-1,58916.7871358458,58989.87,0.0034217224809735044
2024-08-29 01:00:00,1,59051.87813257777,59177.62,0.003182749851796588
2024-08-29 02:00:00,1,59291.294119492646,59140.27,-0.0006311507627377684
2024-08-29 03:00:00,1,59581.5083153613,59178.34,0.0006437238112034273
2024-08-29 04:00:00,1,59674.68934142275,59437.37,0.004377108246023902
2024-08-29 05:00:00,1,59675.724007268596,59576.87,0.002347008287883532
2024-08-29 06:00:00,1,59965.39565586114,59619.43,0.0007143711980840496
2024-08-29 07:00:00,-1,59488.281969730684,59560.99,0.0009802173553152443
2024-08-29 08:00:00,-1,59536.4558510102,59642.92,-0.0013755647782214549
2024-08-29 09:00:00,1,59745.078163713646,59704.54,0.0010331486117715668
2024-08-29 10:00:00,1,60169.97655943043,60125.8,0.007055744839504701
2024-08-29 11:00:00,1,60282.01829528874,60256.52,0.0021741082862929704
2024-08-29 12:00:00,1,60484.25755981324,60597.0,0.005650508857796687
2024-08-29 13:00:00,1,61042.65022542986,60780.06,0.0030209416307737623
2024-08-29 14:00:00,1,60846.13223947415,60811.93,0.0005243495975489761
2024-08-29 15:00:00,-1,60047.34469281346,60333.19,0.007872468444925165
2024-08-29 16:00:00,-1,60005.82788340573,60470.23,-0.002271386611581467
2024-08-29 17:00:00,-1,58768.558202971,59140.67,0.021987017413361995
2024-08-29 18:00:00,-1,58887.59351506813,59224.48,-0.001417129701100866
2024-08-29 19:00:00,1,59607.39773138285,59492.38,0.004523467322971753
2024-08-29 20:00:00,1,59959.38148557599,59475.0,-0.0002921382536721069
2024-08-29 21:00:00,-1,59470.33398319711,59243.97,0.003884489281210573
2024-08-29 22:00:00,-1,58973.42095629847,59365.65,-0.0020538799138545287
2024-08-29 23:00:00,-1,59014.67288528119,59295.33,0.0011845233733648955
2024-08-30 00:00:00,-1,59061.756309373166,59226.13,0.0011670396302711254
2024-08-30 01:00:00,1,59313.39413670986,59183.1,-0.0007265374252884468
2024-08-30 02:00:00,1,59356.6177004022,59030.59,-0.0025769180728958444
2024-08-30 03:00:00,1,59420.986461908564,59059.65,0.0004922871345179669
